Raridade,Comuns,foil,Incomuns,foil,Raras,foil,Epicas,foil,Alt,foil,Showcase,foil,Signed
Menor,"R$ 0,18","R$ 0,73","R$ 0,40","R$ 1,99","R$ 4,24","R$ 3,00","R$ 130,00","R$ 54,95","R$ 30,00","R$ 18,00","R$ 979,20","R$ 899,90","R$ 14.999,99"
Médio,"R$ 0,71","R$ 1,53","R$ 2,66","R$ 8,40","R$ 4,24","R$ 6,39","R$ 139,95","R$ 68,29","R$ 69,97","R$ 36,33","R$ 979,20","R$ 1.070,34","R$ 15.333,26"
Maior,"R$ 2,00","R$ 6,94","R$ 5,00","R$ 9,56","R$ 4,24","R$ 20,00","R$ 149,90","R$ 99,90","R$ 99,90","R$ 64,39","R$ 979,20","R$ 1.499,99","R$ 15.499,90"
Menor,"R$ 0,19","R$ 0,39","R$ 0,28","R$ 4,00","R$ 4,88","R$ 3,49","R$ 278,87",,"R$ 229,90","R$ 59,41","R$ 449,90","R$ 279,00","R$ 10.526,32"
Médio,"R$ 0,71","R$ 2,00","R$ 1,63","R$ 14,63","R$ 4,88","R$ 5,06","R$ 341,26",,"R$ 234,95","R$ 101,41","R$ 449,90","R$ 361,95","R$ 10.526,32"
Maior,"R$ 2,00","R$ 5,90","R$ 3,71","R$ 19,94","R$ 4,88","R$ 10,00","R$ 399,99",,"R$ 240,00","R$ 153,31","R$ 449,90","R$ 499,94","R$ 10.526,32"
Menor,"R$ 0,18","R$ 0,36","R$ 0,28","R$ 1,49","R$ 0,55","R$ 0,40","R$ 99,00","R$ 86,99","R$ 34,99","R$ 26,94","R$ 555,00","R$ 420,00","R$ 7.499,95"
Médio,"R$ 0,67","R$ 1,11","R$ 0,95","R$ 3,21","R$ 1,65","R$ 1,80","R$ 99,00","R$ 110,28","R$ 80,00","R$ 51,91","R$ 555,00","R$ 592,54","R$ 7.499,95"
Maior,"R$ 2,00","R$ 4,94","R$ 3,00","R$ 9,90","R$ 2,90","R$ 5,99","R$ 99,00","R$ 150,00","R$ 120,00","R$ 129,99","R$ 555,00","R$ 899,90","R$ 7.499,95"
Menor,"R$ 0,20","R$ 0,78","R$ 0,36","R$ 2,80","R$ 3,30","R$ 3,00","R$ 60,00","R$ 11,29","R$ 39,99",,"R$ 750,00",,"R$ 6.999,99"
Médio,"R$ 0,65","R$ 1,42","R$ 1,08","R$ 6,56","R$ 3,30","R$ 5,03","R$ 60,00","R$ 23,73","R$ 107,81",,"R$ 837,34",,"R$ 6.999,99"
Maior,"R$ 2,00","R$ 4,94","R$ 2,50","R$ 10,00","R$ 3,30","R$ 11,90","R$ 60,00","R$ 46,99","R$ 149,99",,"R$ 1.599,90",,"R$ 6.999,99"
Menor,"R$ 0,20",,"R$ 0,33","R$ 0,50","R$ 2,90","R$ 0,80","R$ 300,00",,"R$ 79,99","R$ 74,98","R$ 300,00","R$ 259,90","R$ 5.500,00"
Médio,"R$ 1,04",,"R$ 0,94","R$ 3,64","R$ 2,90","R$ 2,44","R$ 380,75",,"R$ 79,99","R$ 95,18","R$ 300,00","R$ 351,68","R$ 5.500,00"
Maior,"R$ 4,99",,"R$ 2,50","R$ 8,90","R$ 2,90","R$ 5,00","R$ 499,90",,"R$ 79,99","R$ 161,78","R$ 300,00","R$ 560,00","R$ 5.500,00"
Menor,"R$ 0,19","R$ 0,38","R$ 0,32","R$ 1,45","R$ 0,90","R$ 0,77","R$ 699,90","R$ 214,79","R$ 35,00",,"R$ 397,98",,"R$ 5.500,00"
Médio,"R$ 0,69","R$ 1,42","R$ 0,97","R$ 3,49","R$ 2,11","R$ 2,21","R$ 699,90","R$ 311,62","R$ 65,52",,"R$ 458,84",,"R$ 5.500,00"
Maior,"R$ 2,00","R$ 4,94","R$ 2,50","R$ 9,90","R$ 2,90","R$ 5,00","R$ 699,90","R$ 509,64","R$ 99,94",,"R$ 599,90",,"R$ 5.500,00"
Menor,"R$ 0,24","R$ 1,00","R$ 0,38","R$ 0,90","R$ 14,90","R$ 4,00","R$ 55,95",,"R$ 112,00","R$ 79,98","R$ 820,00","R$ 513,00","R$ 3.353,31"
